LECROYWaveRunnerž,40477,Waveform
Segments,1,SegmentSize,1000
Segment,TrigTime,TimeSinceSegment1
#1,07-Jun-2021 10:52:12,0                 
Time,Ampl
0.00531,0.0018792676
0.00532,0.0020208561
0.00533,0.0018406526
0.00534,0.0017762942
0.00535,0.0017248075
0.00536,0.0019307543
0.00537,0.0017119358
0.00538,0.0018535243
0.00539,0.0016089624
0.0054,0.0016733208
0.00541,0.0015574757
0.00542,0.0015188607
0.00543,0.0017891659
0.00544,0.0015960907
0.00545,0.0015188607
0.00546,0.0016089624
0.00547,0.001544604
0.00548,0.0014158873
0.00549,0.0015574757
0.0055,0.0013129139
0.00551,0.0015188607
0.00552,0.0012871705
0.00553,0.0015574757
0.00554,0.0013386572
0.00555,0.0013515289
0.00556,0.0012485555
0.00557,0.0012614272
0.00558,0.0012099404
0.00559,0.0013386572
0.0056,0.0012356838
0.00561,0.0012099404
0.00562,0.0012742988
0.00563,0.0011970688
0.00564,0.0011970688
0.00565,0.0011327104
0.00566,0.0010940954
0.00567,0.0011713254
0.00568,0.0010940954
0.00569,0.0011455821
0.0057,0.00096537859
0.00571,0.0010426087
0.00572,0.0010554803
0.00573,0.00093963524
0.00574,0.0010812237
0.00575,0.00096537859
0.00576,0.00096537859
0.00577,0.00086240518
0.00578,0.00092676357
0.00579,0.00095250692
0.0058,0.00082379015
0.00581,0.0010168653
0.00582,0.00087527686
0.00583,0.00083666183
0.00584,0.00090102021
0.00585,0.00090102021
0.00586,0.00077230345
0.00587,0.00086240518
0.00588,0.00082379015
0.00589,0.00078517512
0.0059,0.00077230345
0.00591,0.00084953351
0.00592,0.00091389189
0.00593,0.00075943177
0.00594,0.00078517512
0.00595,0.00075943177
0.00596,0.00066933003
0.00597,0.00074656009
